The Biggest Douche in the Universe,Lion-head alien,"And finally, Ursula, the giant douche [a douche bottle with applicator] from the Horsehead Nebula, Station J-12."
The Biggest Douche in the Universe,Bee alien,"And the winner for Biggest Douche In the Universe is... [opens the envelope and reads] It's John Edward, Milky Way Galaxy, Planet Earth!"
The Biggest Douche in the Universe,John Edward,"[a lovely alien woman comes to take him to the stage] Uh no, come on now! [once on stage, he gets a beauty-pageant treatment, complete with banner over his shoulder saying ""BIGGEST DOUCHE"" and a crown]"
The Biggest Douche in the Universe,Frankenstein alien,"Here he is, the Biggest Douche of the Universe! In all the galaxies, there's no bigger douche than you! You've reached the top, the pinnacle of douchedom! Good going, douche. Your dreams have come true!"
The Biggest Douche in the Universe,Announcer,Da derpa derpa derpaderp. Da Derp Dee Derp Da Teetley Derpee Derpee Dumb!
My Future Self n' Me,Scene Description,"South Park, woods, night. Six boys look at a tree stump surrounded by litter. They are Jimmy, Token, Craig, Clyde, Kyle, and Cartman. Kyle is carrying a black trash bag. On the stump is a marijuana joint and some paper."
My Future Self n' Me,Kyle,"[thrusts the bag at Clyde] Throw it away, Clyde!"
My Future Self n' Me,Clyde,I'm not gonna touch it. You throw it away.
My Future Self n' Me,Stan,[arriving] What's going on?
My Future Self n' Me,Kyle,[points at the joint] Some high schoolers left their marijuana cigarette behind. Uh we have to throw it away before some kids find it or something.
My Future Self n' Me,Stan,So throw it away.
My Future Self n' Me,Clyde,Nobody wants to touch it.
My Future Self n' Me,Kyle,What if the residue gets on our hands and it leads to harder drugs like those commercials say?
My Future Self n' Me,Craig,"Yeah, didn't you see that commercial where it says that if you have pot you could become a terrorist?"
My Future Self n' Me,Clyde,And the commercial where the two kids have pot and the one kids shoots the other. Harmless?
My Future Self n' Me,Stan,"You guys, those commercials are just exaggerations."
My Future Self n' Me,Token,How do you know? None of us had ever had any drugs before.
My Future Self n' Me,Jimmy,"Well, I did Ecstasy once. [the other boys look at him] Me and my girlfriend took it and we stayed up all night having... sex. [the other boys just stare]"
My Future Self n' Me,Kyle,...Where did you have sex with her?
My Future Self n' Me,Jimmy,"In her... va-vagina. [smiles, but the other boys remain silent] Thank you, thank you. What a terrific audience."
My Future Self n' Me,Stan,[annoyed at his friends' skittishness] It's just a stupid plant that makes you dumb. Touching it won't hurt you.
My Future Self n' Me,Cartman,"[takes the bag from Kyle and offers it to Stan] Then you throw it away, smartass. [Stan walked into that one]"
My Future Self n' Me,Stan,"Fine, I will. [takes the bag and walks over to the stump, faces the boys, and tosses the joint into the bag] There, see? I touched marijuana. I'm not a terrorist, I didn't shoot anybody, and I don't feel like doing more drugs now. No big deal."
My Future Self n' Me,Scene Description,"South Park, night. To the sound of dramatic music, lightning relentlessly flashes all over town. Stan's house is shown as lightning strikes it. In the living room Stan watches ""The Osbournes"" with his grandfather. Ozzy is shown in his living room talking to his kids."
My Future Self n' Me,Ozzy,You kids fucking don't fuck around with your fucking mom!
My Future Self n' Me,Jack,"Dad, we fucking can't! It's a big flick a fuck!"
My Future Self n' Me,Sharon,"[enters scolding] Stan, what did I tell you about watching The Osbournes?"
My Future Self n' Me,Stan,"Aw, come on, Mom."
My Future Self n' Me,Sharon,"It's going to make you retarded! [starts flipping channels, then settles on a news report, then walks away]"
My Future Self n' Me,Stan,"It's just a show! It doesn't have any fucking effect on me, for fuck's sake!"
My Future Self n' Me,Grandpa Marvin,Oh goody. Now we can watch the news.
My Future Self n' Me,Tom,"In other news, South Park police are still looking for a craaazy man who terrorized the town one hour ago. [a silhouette of a man running is behind the words ""CRAZY MAN"" and a question mark is on the silhouette] The man claimed to be from the future and ran naked through the city streets screaming ""The past! The past! Oh my God, it's the past!"" Which is what one would expect someone from the future to yell. [a knock is heard on the front door, Sharon goes to answer it. Before her stands a disheveled man with long brown hair and stubbly beard. He's wrapped in a large towel and wears a blue cap with red piping and puff, like Stan does]"
My Future Self n' Me,Naked Man,"[slurring his voice] Oh my God, it's the past! [looks at Sharon] Oh, whoa man, it's you!"
My Future Self n' Me,Sharon,Who are you?
My Future Self n' Me,Naked Man,"It's me, Mom, your son Stan. [Sharon looks shocked, and the camera zooms in on that. Behind her, still watching TV, are Stan and Marvin. Stan looks over]"
My Future Self n' Me,Randy,"[joining Sharon at the door] Who is it, Sharon?"
My Future Self n' Me,Naked Man,Dad!
My Future Self n' Me,Randy,Dad?? Look! We don't know you and you don't know us! Just go away before we call the police!
My Future Self n' Me,Stan,"[rises from the sofa and walks over] Who the fuck is it, Mom and Dad?"
My Future Self n' Me,Naked Man,"No way, it's me from the past! [looks quite relieved]"
My Future Self n' Me,Stan,I'm me from the past?
My Future Self n' Me,Future Stan,"[genuflects to Stan, who leans back a bit] No, I'm you from the future! [rises, and Randy helps him up] Oh man, this is so messed up."
My Future Self n' Me,Randy,"[pushing the man out the door] Okay, we've had enough!"
My Future Self n' Me,Future Stan,"Your name's Randy Marsh, you're a geologist, and you don't like chicken. Mom, your maiden name is Kimble and you have a scar on your left knee from when you slipped in the swimming pool."
My Future Self n' Me,Sharon,"[in hushed tones] Randy, what's going on?"
My Future Self n' Me,Randy,[in hushed tones] I don't know.
My Future Self n' Me,Future Stan,"Dude, just let me talk to you for like, five minutes. After that I'll bail."
My Future Self n' Me,Scene Description,The Marsh dining room. The naked man is now dressed in street clothes and seated at the head of the table. He's enjoying a beer and regular cigarette. The others look dazed and confused at the man as he recounts his memories.
My Future Self n' Me,Future Stan,"I can still remember when I was five and you both found that squirrel I'd been keeping in the closet and, you let me keep it for another week and then it ran away but... I know that's just what you told me. I know that Mom had actually let it out."
My Future Self n' Me,Randy,How could he possibly know all that unless... he is our son from the future.
My Future Self n' Me,Sharon,"But why are you back in this time with us, son?"
My Future Self n' Me,Future Stan,"I have no idea, man. I was just about to go asleep in an alley behind the crackhouse, [Stan is aghast at what he would become] and I shot up a little heroin, and then this electrical storm started. Next thing I knew I was running around in my own past, man. I thought... I was just tripping, but then I came down and I was still here. Oh, dude, it's so bizarre!"
My Future Self n' Me,Stan,"Oh dude, I should have never touched that marijuana!"
My Future Self n' Me,Randy,"[laying hands on the man's shoulder] Stan, whatever's happened, we going to help you."
My Future Self n' Me,Sharon,[reaching out] That's right. We're a family no matter what time shift.
My Future Self n' Me,Future Stan,Thanks. Can I get another beer?
My Future Self n' Me,Sharon,You must be exhausted. Why don't you get some sleep?
My Future Self n' Me,Future Stan,That'd be killer. Where can I crash?
My Future Self n' Me,Sharon,"Well I'm sure Stan wouldn't mind sharing his room, would you, Stan?"
My Future Self n' Me,Stan,What?? I have to share my room with my future self?? Oh no! [squeezes his eyes shut and buries them in his right hand]
My Future Self n' Me,Singer,"Here we are, face to face, ""My Future Self -n- Me"" [Stan and Future Stan stroll down a road. Future Stan has a beer]"
My Future Self n' Me,Stan,[right at the camera] Stop it.
My Future Self n' Me,Singer,"So much alike, and yet so different"
My Future Self n' Me,Stan,[Stan's future self joins him in bed after freshening up in the bathroom] No.
My Future Self n' Me,Singer,"One of them's messy, the other one's clean! [Stan's future self turns off the light while Stan looks pissed off] Gettin' along isn't always easy, sometimes we disagree [Stan's future self brushes his teeth as Stan stands next to him, avoiding him. Future Stan spits his frothy toothpaste into the sink]"
My Future Self n' Me,Stan,Quit it.
My Future Self n' Me,Singer,"But in the end we know we're good for each other [both Stans eat cereal, but the future Stan has trouble pouring milk into his bowl. It splashes out of the bowl along with some cereal. Stan just buries his face in his hands in frustration] Two peas in a pod, Future Self -n- MeFuture Self -n- Me, Future Self -n- [Now they have separate beds. Stan turns the light off and tries to sleep. Future Stan reaches over to turn it on. Stan moves to turn it off, and they fight over the switch until one of them sleeps] Me"
My Future Self n' Me,Scene Description,"Bus stop, next day. Stan arrives with future Stan."
My Future Self n' Me,Stan,Hey guys.
My Future Self n' Me,"Kyle, Cartman",Hey.
My Future Self n' Me,Future Stan,"Whoa, Kyle and Cartman! It's so cool to see you guys."
My Future Self n' Me,Cartman,Who's this asshole?
My Future Self n' Me,Stan,This is my future self. He came during the electrical storm last night and is caught in a time matrix. He's me when I'm 32.
My Future Self n' Me,Kyle,Wow. That's pretty cool.
My Future Self n' Me,Cartman,Then how does he know our names?
My Future Self n' Me,Kyle,"'Cause, r-tard, he's Stan from the future. He knows everything Stan knows."
