I Should Have Never Gone Ziplining,Stan,[being interviewed] The boat went really slow and it just went round and round.
I Should Have Never Gone Ziplining,Cartman,WAAAAAAAAAAAAAH!
I Should Have Never Gone Ziplining,Narrator,"If the boys fall asleep now, from the lack of excitement, they could die. [Stan looks ready to sleep. Cartman takes a swig of Mountain Dew]"
I Should Have Never Gone Ziplining,Kyle,Here! [takes Cartman's bottle] Everyone drink some Mountain Dew!
I Should Have Never Gone Ziplining,Kyle,"[being interviewed] I don't know, I-I just thought if we all drank the Mountain Dew, the caffeine and the sugar would help us stay awake. I told Cartman he has to share it."
I Should Have Never Gone Ziplining,Cartman,I'm not sharing with Kenny. He has herpes!
I Should Have Never Gone Ziplining,Kenny,"Hey. [tugs on Cartman, who turns to look at him] Fuck you, Cartman."
I Should Have Never Gone Ziplining,Scene Description,"The Puffin, some time later"
I Should Have Never Gone Ziplining,Narrator,Four young boys in Colorado are on a trip from hell. [individual shots of the boys. They all have oral herpes now] And just when it seems it can't get any worse... [the boys are nodding off again]
I Should Have Never Gone Ziplining,Stan,"...Kenny? Kenny! [Kenny has slid down on the seat, but his eyes are open]"
I Should Have Never Gone Ziplining,Narrator,Kenny McCormick has died of boredom.
I Should Have Never Gone Ziplining,Kyle,"Oh my God, they killed Kenny! YOU BASTARDS!"
I Should Have Never Gone Ziplining,Cartman,"No, not they, YOU! Look what your ziplining idea has done! You killed Kenny, YOU're the bastard!"
I Should Have Never Gone Ziplining,Kyle,"IT WASN'T MY IDEA, IT WAS YOURS! YOU KILLED KENNY, YOU BASTARD!"
I Should Have Never Gone Ziplining,Stan,"[being interviewed] And finally, I couldn't hold it in anymore. I said ""Stop it!"""
I Should Have Never Gone Ziplining,Stan,[rises and walks a bit] Stop it! It was me! My idea.
I Should Have Never Gone Ziplining,Cartman,You?!
