Breast Cancer Show Ever,Pete,It's about freaking time. [Wendy walks up to Cartman and they face off]
Pandemic,Senator 2,"Excuse me, but... aid other countries?"
Pandemic,Michael Chertoff,Senator?
Pandemic,Senator 2,With all due respect we need to be dealing with our own pan flute bands! Let other countries fend for themselves!
Pandemic,Michael Chertoff,"[starting soft and with rising voice, he leaves the podium and faces the senator] You heartless bastard! This country was founded on beliefs in freedom and integrity! And we will not sit back and do nothing while less fortunate countries are ravaged by Peruvian flute bands! Is that clear?! [the senator collapses back into his seat and begins to cry and Chertoff returns to the podium] As director of Homeland Security, I am taking control of the military until the crisis is contained."
Pandemic,Scene Description,"South Park Mall, day. The third Peruvian flute band continues to play and a woman stops by. She begins to dance. Some helicopters are heard and one appears over the crowd."
Pandemic,Paratrooper:,"Go, go! [all kinds of law enforcement and military vehicles rush in and surround the mall. Hazmat officers pour out of a Hazmat truck. Inside, the boys now play ""Three Blind Mice"". A woman stops by and buys a CD. The boys hear some commotion and look over: military troops surround the second band and subdue it]"
Pandemic,Cartman,"Ha! [sticks his right middle finger up] Serves you right, assholes! [behind them the third band is subdued]"
Pandemic,Soldier 1,One more over here! [the boys are surrounded and subdued]
Pandemic,Soldier 2,Let's go! Get 'em out!
Pandemic,Soldier 3,"Clear out, move! This is a Homeland Security operation, people, let's go!"
Pandemic,Stan,"Hey, back off!"
Pandemic,Solider 3,"Make sure all pan flute music CDs are contained! [Hazmat officers collect the CDs slowly, gingerly]"
Pandemic,Scene Description,"Stan's house, day. Randy is in the living room taking more video of Sharon and Shelly while they sit on the sofa."
Pandemic,Randy,"There's Sharon and Shelly. They're watching some television. Wave to the camera, Shelly. [neither female responds to him] What are you watching, guys?"
Pandemic,Sharon,[irritated] The news.
Pandemic,Randy,[draws even closer to her] Huh?
Pandemic,Sharon,[irritated] We're watching the news.
Pandemic,Randy,"[turns the camera towards the TV] That's the TV in our living room, still showing commercials right now. [moves around to Shelly's side] What do you think about the television, Shelly? [Shelly remains quiet as Randy glances at the TV] Oh, the news is starting! [starts taking video of that]"
Pandemic,Scene Description,CNN Breaking News
Pandemic,Anchorman Tom,"The government efforts to stop the Peruvian flute band crisis are now in their third day. [Times Square in New York is shown, with more bands being arrested] In cities all over the world [a shot of St. Louis] flute bands have been removed and quarantined. [a shot of Seattle] But more may still be out there. Homeland Security's requesting that [a graphic appears that says pretty much the following] if you see a Peruvian flute band, do not approach it. Mark down the flute band's location, and do not, under any circumstances, buy their CDs. [the reporter reappears onscreen] The flute bands that have been contained are being taken to a quarantined area in Miami"
Pandemic,Scene Description,"Peruvian Flute Band Internment Camp, brought to you by the Department of Homeland Security, in Miami. More Peruvian bands join the already large crowd of bands there. The boys are among them."
Pandemic,Stan,"Eh-excuse us. Hello? [spots a soldier in one of the watchtowers] Uh excuse me. Sir? Sir, there's been a misunderstanding. Can, can I talk to you for a minute?"
Pandemic,Kyle,"Sir? Sir, can we talk to you for just a second?"
Pandemic,Guard,Get back! I'm not buying any of your damned CDs!
Pandemic,Stan,"No. Sir, there's been a biiig misunderstanding. We actually aren't a Peruvian-"
Pandemic,Guard,"I said I'm not buying any God damned CDs today, you got that?! I'm sick of it!"
Pandemic,A musician,"[walks into view] Señor? Comprar CD la musica? [""Sir? Do you want to buy our music CD?""] ["" [the soldier kills him with a few blasts from his automatic rifle]"
Pandemic,Kenny,"(Jesus Christ, he fucking shot that guy!)"
