Britney's New Look,Photographer 3,Hey look!
Major Boobage,Scene Description,"South Park Elementary, day, hallway. Butters stands around while Cartman and Stan visit their lockers. Kyle walks up to them."
Major Boobage,Kyle,"Guys, have you seen Kenny?"
Major Boobage,Stan,"Nah, I think Kenny's out sick today."
Major Boobage,Kyle,"Yeah, and he was out sick yesterday too. Guys... [Cartman and Stan turn to listen] I think Kenny isn't here because he's at home cheesing."
Major Boobage,Butters,"Aww, come on. Kenny knows how dangerous cheesing is."
Major Boobage,Stan,"Yeah, and where is he gonna find cats anyway? They've been outlawed."
Major Boobage,Cartman,"Yeah, who has cats these days? [laughs nervously]"
Major Boobage,Kyle,"Pot's illegal too, but people still manage to find it. Ever since that first time Kenny cheesed, he hasn't been the same. You've all noticed the change in him. I'll bet Kenny's at home cheesing right now."
Major Boobage,Scene Description,"Kenny's hallucination. He's back in the alternate world, this time riding a giant bird, but the landscape is the same - breast shapes are everywhere. Kenny sees the large-breasted woman from his first trip, but now she's strapped onto a rack and is being whipped by three burly men. These men are mutants with four breasts instead of two, and two more breasts on their shoulders. Kenny lands and hops off the bird, finds a metal spear nearby, and launches it. It strikes the middle mutant man through the neck and out the sternum, killing him. The other two run away. Kenny runs to the woman, and she smiles at him. They both ride on the giant bird, with the woman's boobs resting on Kenny's head"
Major Boobage,Kenny,(Woohoohoo! Woooohoooo! Woooohoohoo!)
Major Boobage,Scene Description,"Kenny's house. Kyle, Stan, and Butters stand outside his door. Kyle pounds at the door."
Major Boobage,Kyle,Kenny? [pounds three more times]
Major Boobage,Stan,"Kenny, you home? [Kenny yells some more. Alarmed, the boys open the door and enter the house. They see that Kenny was indeed cheesing. Two cats look back at them.]"
Major Boobage,Kenny,[really high] (Wooooooohoohoo! Woo! Wazzup? Wazzup?) [one cat runs out]
Major Boobage,Kyle,Kenny!
Major Boobage,Kenny,[still cheering and making flying motions] (Victory! Ho-Ho! Wooooooo!)
Major Boobage,Butters,"Whoa boy, he's cheesed out of his mind! [Kenny flutters some more, stops, and passes out, falling to the floor]"
Major Boobage,"Stan, Kyle",Kenny!
Major Boobage,Scene Description,"Moments later, Kenny is at the dining room table. A lock of his hair peeks out from under his hood. Butters has prepared a cup of coffee and gives it to him. Stan and Kyle stand nearby"
Major Boobage,Butters,"There you go. Well, try some coffee, Ken."
Major Boobage,Kenny,[groans]
Major Boobage,Kyle,"Kenny, we need to have a serious talk."
Major Boobage,Kenny,"(No we don't, guys.)"
Major Boobage,Stan,"Yes, we do. We're your friends, dude. We're not gonna let you ruin your life."
Major Boobage,Kenny,"(I'm not ruining my life, okay? Will you guys just back the fuck off?)"
Major Boobage,Kyle,"Look at yourself! You've got to lay off the cheese! [abruptly, Kenny vomits, stops, then vomits again. Some of it gets on Butters' face and shirt.]"
Major Boobage,Butters,"Yeah, that's it little buddy. Just let it out."
Major Boobage,Stan,"Kenny, I know we're super-cool and everything, but if we ever catch you cheesing again, we're gonna tell on you."
Major Boobage,Kenny,"[exhausted] (Ugh, okay, okay, I just wanna sleep now.)"
Major Boobage,Butters,"Yeah, he needs some sleepy night-night, doesn't he, buddy?"
Major Boobage,Kyle,[grabs the other cat as it walks up to him] We've gotta keep this away from him.
Major Boobage,Scene Description,"Cartman's house, night, Cartman's room. He's asleep. A cat meows and awakens him. The cat meows again"
Major Boobage,Cartman,"[sits up] Mr. Kitty, shhh! [Mr. Kitty meows a 3rd time] Damn it! [gets up and leaves the bed. A small door to the attic opens and Cartman pops in with a candle. Mr. Kitty is nearby] Shhh, Mr. Kitty you have to be quiet, or else they're gonna find you. [Mr. Kitty goes to a window and meows. Cartman follows him to the window] What?! [looks out a half-moon window and sees a cat, it meows] It's the neighbor cat. He hasn't been caught yet. [Mr. Kitty meows] No- no, Mr. Kitty. I know you like Rufus, but he has to fend for himself. [Mr. Kitty meows] I can't hide anymore cats, Mr. Kitty. [crosses his arms] I'm in trouble enough as it is. [Mr. Kitty paws at Cartman] All right, all right, fine. [heads to the attic door and goes downstairs, closing the door behind him]"
Major Boobage,Scene Description,"Cartman's house, outside. Cartman appears around a corner dressed in overcoat and fedora"
Major Boobage,Cartman,"[whispers and motions] All right. Come on, Rufus. Quietly. [two kittens walk up next to Rufus] Oh jeez, no, no, I can't hide you all. [they all look at him sadly, one of them meows] I'm sorry, you'll just have to find somewhere else to- [the cats lower their head further while focusing on Cartman, Cartman starts to have tears in his eyes] Well, I suppose I'll get in just as much trouble for four cats as for two. Come on. [turns and leaves]"
Major Boobage,Scene Description,"Kyle's house, day, Kyle's room. Sheila enters with folded clothes, walks to Kyle's dresser, and starts putting his clothes away. After putting away a pair of briefs she spots a cat hidden between his shirts and his briefs"
Major Boobage,Sheila,Huh? [removes the clothes hiding the cat] Oh my God... [moments later she's downstairs standing next to Gerald.]
Major Boobage,Gerald,"Kyle! Kyle, can we talk to you for a minute, please?"
Major Boobage,Kyle,[walks up to them] Yeah?
Major Boobage,Gerald,"Kyle, have you been getting high?!"
Major Boobage,Kyle,[shrugs] No.
Major Boobage,Gerald,Then why did your mother find this [holds up a bag of contraband - the cat] in your dresser drawer?!
Major Boobage,Kyle,"[holds his hands out in denial] All right, look, th-that isn't mine. I'm just holding it for a friend."
Major Boobage,Sheila,"[pointing] Don't lie to us, Kyle!"
Major Boobage,Gerald,How long have you been on the cheese?!
Major Boobage,Kyle,I'm not cheesing. I've never cheesed once in my life.
Major Boobage,Gerald,Get up to your room right now until your mother and I figure out how to deal with this!
Major Boobage,Kyle,"Dad, will you just listen to me for a second?"
