Fourth Grade,The Adults,Aww Oooo!
Fourth Grade,Clean Garrison,THERE WERE NO CHICKS!
Fourth Grade,Unkempt Garrison,"OH, DAMN YOU SPIRIT! HAUNT ME NO LONGER!"
Fourth Grade,Clean Garrison,ADMIT IT!
Fourth Grade,Unkempt Garrison,NO!!!
Fourth Grade,Clean Garrison,YOU HAVE TO STOP LYING TO YOURSELF AND GET A G-
Fourth Grade,Unkempt Garrison,"ALRIGHT, ALRIGHT, I ADMIT IT! I'M GAY!!! [camera zooms in as Garrison comes to terms with this admission] I'm...gay. I'm gay! [rises] I am gay! You hear that everyone? [goes towards the exit] I'm gay! I'm gay! I'm gay and it... [gets emotional] and it feels good."
Fourth Grade,Scene Description,"South Park Elementary, Ms. Choksondik's classroom, a few days later. Where the chalkboard used to be are just some boards hastily put up, along with a DO NOT CROSS line and three safety cones to guard this makeshift board."
Fourth Grade,Ms. Choksondik,"Alright, children, I hope you all did your- [the class once again has goggles on and the two nerds are back together in the back of the class ready to activate another machine --- a microwave oven with a duck tied to it.] Oowhat is going on now?! [three kittens run up and frolic near her breasts]"
Fourth Grade,Cartman,"Haha, Teacher, we're traveling back in time to third grade!-God-damnit you guys, you seriously said this time you'd snap into it with me."
Fourth Grade,Ms. Choksondik,"[cups her ears] Oh Good Gravy, not this again."
Fourth Grade,Cartman,"Yes! We've had a new time machine built: this one out of a simple microwave oven and a duck [the contraption is shown and the duck quacks.] Au revoir, teacher! Perhaps we shall see you in the past, hahaa. Gentlemen? [the nerds activate their controllers]"
Fourth Grade,Ms. Choksondik,"Children, I will have order!!"
Fourth Grade,Nerd #1,I can't wait for Gene Roddenberry to tell you how WRONG you are! Just like when you said there were no two-parters of Battlestar Galactica!
Fourth Grade,Nerd #2,There WEREN'T!
Fourth Grade,Nerd #1,"The episode called ""Gonzo on Ice Planet Zero"" was a two-parter."
Fourth Grade,Nerd #2,No it WASN'T!
Fourth Grade,Stan,"Oh, son of a bitch!"
Fourth Grade,Nerd #1,"I'll kill you! [the nerds start slapping each other again. Nerd #2 throws his controller at Nerd #1, and the controller hits the floor. The microwave is activated and soon blows up along with the bird, leaving behind a portal]"
Fourth Grade,Cartman,"There it is! Come on, everybody! [the kids move towards the portal]"
Fourth Grade,Ms. Choksondik,"Children, get back into your seats!"
Fourth Grade,Cartman,"No way, lady!"
Fourth Grade,Ms. Choksondik,"Eric, I mean it!"
Fourth Grade,Cartman,You can suck my balls!
Fourth Grade,Ms. Choksondik,"[strikes a meditative pose as the camera does some vertigo, then] Present them. [everyone stops what they're doing and looks at her. Nerd #2 was about to strike Nerd #1 with a desk.]"
Fourth Grade,Cartman,...What?
Fourth Grade,Ms. Choksondik,"You said, ""suck my balls."" Well, go ahead. Whip 'em out, and I'll suck 'em."
Fourth Grade,Stan,[softly] Thah... That's what Mr. Garrison would've said.
Fourth Grade,Cartman,"Touché, teacher. Touché."
Fourth Grade,Ms. Choksondik,"Now, children, listen to me. Why do you want to go back in time? Life isn't about going back, it's about going forward. Yes, there are times in our life that we wish we could relive, but, if we already lived them perfectly, why live them again? The adventure of life is that there's always something new. New challenges, new experiences. A fun game is a game that gets harder as it goes. So it is with life. Do you understand?"
Fourth Grade,Stan,Dude. Sh-she's right.
Fourth Grade,Kyle,"Yeah. And you know, now that I think about it, third grade wasn't all that great, either."
Fourth Grade,Stan,"Yeah. Third grade sucked! Cartman, why the hell did you try to make us think third grad was so great?!"
Fourth Grade,Kyle,"Yeah! You suck, Cartman! [the kids return to their seats, leaving Cartman alone]"
Fourth Grade,Cartman,What??
Fourth Grade,Ms. Choksondik,"Alright, students, that will be quite enough! If you're ready, let's continue on... with the fourth grade. [as she turns to write her name on the makeshift board, a noise is heard]"
Fourth Grade,Timmy,AAAAAAA! [reappears covered in items from every time period in history]
Fourth Grade,Kyle,"Hey, Timmy's back!"
Fourth Grade,Stan,"Dude, it looks like he's been all over time! He must have such cool stuff to tell us."
Fourth Grade,Timmy,"[shifts a bit here and there] Eh, Timmih."
Fourth Grade,Scene Description,"South Park Elementary, Principal's office. Chef talks with Mr. Mackey and Principal Victoria"
Fourth Grade,Chef,"You know I'm always here to help, Principal Victoria. [the door opens]"
Fourth Grade,Mr. Garrison,"[skips in happily] Ey, guess what everybody?! I'M GAY!!! [the other three look]"
Fourth Grade,Principal Victoria,Mr. Garrison?
Fourth Grade,Mr. Mackey,What?
Fourth Grade,Mr. Garrison,I'm as gay as a gymnast on shore leave!
Fourth Grade,Principal Victoria,You admit it? You admit it! [the three of them gather around him smiling]
Fourth Grade,Mr. Mackey,"Oh, that's great, Mr. Garrison. You've finally come to terms with yourself!"
Fourth Grade,Mr. Garrison,"[fairly bouncing with joy] Yeah, it feels really good!"
Fourth Grade,Principal Victoria,"Well, congratulations!"
Fourth Grade,Mr. Mackey,"Yeah, congratulations!"
Fourth Grade,Mr. Garrison,"You know, I, I feel like I can start anew. If it's alright with you, I'd like to go back to teaching the third grade!"
Fourth Grade,Principal Victoria,"Oh. I'm sorry, we don't hire gay people. [silence, then Chef, Mr. Mackey, and Principal Victoria laugh as Mr. Garrison stews]"
Trapper Keeper,Scene Description,Bus Stop. Stan and Kenny wait patiently. Kyle and Ike walk up. Ike is dressed in a little business suit and his hair is combed
Trapper Keeper,Stan,"Dude, what's your little brother doing here?"
Trapper Keeper,Kyle,Ike is starting his first day of kindergarten.
Trapper Keeper,Stan,But isn't he only three years old?
Trapper Keeper,Kyle,"Yeah, but he's some kind of genius, so he's getting advanced placement in kindergarten."
Trapper Keeper,Ike,I pooped my pants.
Trapper Keeper,Kyle,"[moves Ike aside and shows his folder] But dude, check out my new Trapper Keeper. [opens it up and displays the inside] It has five different compartments for each subject in school, [closes it and shows off the covers] and it's all covered with pictures from Dawson's Creek."
Trapper Keeper,Stan,Cool!
Trapper Keeper,Cartman,"[walks up with his own folder] Hey, dudes. Check out my sweet Dawson's Creek Trapper Keeper Ultra Keeper Futura 2000. [slight pause. Kyle reacts] Yeah, well, [opens his up] it's got ten different compartments for every subject in school, an electronic pencil sharpener, four plastic bags with electronic zippers, copy machine, fax, a better picture of Dawson's Creek on the back than Kyle's, [opens it up again] flat-screen TV, and of course, OnStar."
Trapper Keeper,Stan,"Wow, cool!"
Trapper Keeper,Kyle,"Goddammit, Cartman! You only got that because you knew my mom would buy it for me!"
Trapper Keeper,Cartman,"Oh, but you have a Trapper Keepe-- Oh, you got the little Crapper Keeper, didn't you? Well, at least your stupid brother got a briefcase."
Trapper Keeper,Kyle,He's going to kindergarten because he's a genius!
Trapper Keeper,Cartman,He's not a genius; he's a little douchebag.
Trapper Keeper,Ike,I pooped my pants!
Trapper Keeper,Kyle,"He's smarter than you, fat boy! I don't even know how you made it into fourth grade! I thought--"
Trapper Keeper,Cartman,"Trapper Keeper, I need to drown out my annoying friend. Please initiate music, country, high volume. [soft music plays and Cartman starts to dance]"
Trapper Keeper,Kyle,"Nobody gives a crap about your Trapper Keeper, Cartman! [music continues, and the bus rolls up]"
Trapper Keeper,Scene Description,"School bus. The boys take their seats. Cartman and Kenny sit behind Kyle, Stan, and Ike. Stan, Kyle and Kenny notice a disheveled man on the other side of the bus"
Trapper Keeper,Stan,"Ms. Crabtree, there's another creepy homeless guy on the bus."
Trapper Keeper,Ms. Crabtree,Sit down and shut up!!
Trapper Keeper,Stan,But they smell like pee.
Trapper Keeper,Man,[in European accent] I am not a homeless person. I am a new fourth-grade student.
Trapper Keeper,Kyle,You are?
Trapper Keeper,Man,Yes! My name is Bill. Bill Cosby.
Trapper Keeper,Stan,Aren't you a little old to be in grade school?
Trapper Keeper,Bill,"I was held back ten human grades. [grimaces and grunts] I mean, grades. Do you companion-friends know Eric Cartman?"
Trapper Keeper,Cartman,"Yeah, that's me."
Trapper Keeper,Bill,Eric Cartman? And you have a Dawson's Creek Trapper Keeper Futura S 2000?
Trapper Keeper,Cartman,"Yeahhh, you already know about it?"
Trapper Keeper,Bill,"Yes. Yes, I do."
Trapper Keeper,Cartman,"Well... [mocking] ""Nobody gives a crap about your Trapper Keeper, Cartman!"""
Trapper Keeper,Kyle,I'm gonna shove that thing up your ass!
Trapper Keeper,Stan,"Dude, do you really care if Cartman has something that's better than yours?"
