The Pandemic Special,Clyde,Good morning.
The Pandemic Special,Chief Scientist,"Again, what really matters is that ew decode the foreign DNA inside the pangolin. That would be the key to the vaccine, perhaps even a cure. We have to know what raped the pangolin."
The Pandemic Special,Randy,"Oh, so now it was ""rape."""
The Pandemic Special,Chief Scientist,"Excuse me, sir. Who are you? [Randy stays silent] This tour is for scientists that specialize in pandemics. Are you... a pandemic specialist?"
The Pandemic Special,Randy,Yeah I'm a pandemic specialist. I'm making one right now.
The Pandemic Special,Chief Scientist,"Uh-kay. Anyway, if you all follow me now to the micro labs, I can show you the containment system for once a vaccine is able to be tried. [Randy pretends to walk with them but pulls back to the cage. He takes the pangolin out and struggles with it for a few seconds, then stuffs it down his pants and sneaks away.]"
The Pandemic Special,Scene Description,"South Park Elementary, day. A crowd of parents has gathered in front of the school. Mr. Mackey and the police officers look back at them. Mr. Mackey pulls out his bullhorn and turns it on, causing a reverb"
The Pandemic Special,Mr. Mackey,"M'kay. mmkay, parents? Can everyone hear me okay? [the crowd is shown from his point of view - they all have masks, but have lowered them to speak] Everyone listens up. We don't want anyone to panic, okay, but there has been a COVID exposure here at the school. [parents gasp] Okay, one of our fourth graders was taken to the hospital a couple of hours ago, okay? But we think Token's gonna be okay. Now, due to county protocol, everyone that was in the school now has to quarantine for two weeks. So we will be keeping your kids here, and the teachers will be staying with them. [parents shout back.]"
The Pandemic Special,Scene Description,"The school gym, day. All the school kids are here, not just the fourth graders. They are talking amongst themselves"
The Pandemic Special,Yates,"Alright, students. shut up. [conversations fade off] I know this situation is not ideal, but we all have to quarantine together for two weeks."
The Pandemic Special,Cartman,This is bullshit!
The Pandemic Special,Yates,"You don't want to infect your families, do you? You were all exposed to a student here who was taken to the hospital due to COVID. Yes?"
The Pandemic Special,Stan,"Uh, we were there, and Token was actually taken to the hospital because you guys shot him."
The Pandemic Special,Yates,"Yes, due to COVID. If it weren't for COVID, all the previous teachers would have still been here, we wouldn't have been in the class, and nobody would have gotten shot. Therefore, the young man is in the hospital due to COVID."
The Pandemic Special,Officer 1,It was COVID-related.
The Pandemic Special,Stan,That doesn't make any sense!
The Pandemic Special,Scene Description,"Tegridy Farms, day. Randy watches the news in the living room"
