"Are You There God? It's Me, Jesus",Jesus,"[goes onstage again] Uh, folks, I'm afraid God can't make it tonight."
"Are You There God? It's Me, Jesus",Randy,We came all the way to Las Vegas for this?!
"Are You There God? It's Me, Jesus",Woman,"This is the worst New Year's ever! Thanks a lot, Jesus!"
"Are You There God? It's Me, Jesus",Skeeter,Let's get him! [leads the charge to the stage]
"Are You There God? It's Me, Jesus",Scene Description,Craig Netzel with some breaking news. The crowd has begun to riot.
"Are You There God? It's Me, Jesus",Netzel,"Well, Tom, I'm here live in Las Vegas in what is quickly becoming known as ""the gayest party ever."" Everyone is so outraged that they are building a large cross in which to once again crucify our Lord and Savior, Jesus Christ. [behind him, two men pop in and out of view. One holds a bat, the other runs back and forth. The man with the bat beats the other man down, but the other man pops up and continues running]"
"Are You There God? It's Me, Jesus",Stan,"[goes onstage] Jesus, why does God hate me?"
"Are You There God? It's Me, Jesus",Jesus,"Huh? He doesn't hate you, he hates me. He's gonna let me be crucified again."
"Are You There God? It's Me, Jesus",Stan,He hates me more. He doesn't answer my prayers. I prayed to him every day and he never answered me.
"Are You There God? It's Me, Jesus",Jesus,"Well, yeah, but just because God doesn't answer your prayers doesn't mean he doesn't care about you."
"Are You There God? It's Me, Jesus",Stan,"Well then, why didn't he give me what I wanted?"
"Are You There God? It's Me, Jesus",Jesus,"Well, God can't just answer every prayer and suddenly give you everything you want. That takes all the living out of life."
"Are You There God? It's Me, Jesus",Stan,What do you mean?
"Are You There God? It's Me, Jesus",Jesus,"If God answered all our prayers, there'd be nothing left for us to do ourselves. Life is about problems, and overcoming those problems. [becomes reflective] A-and growing and learning from obstacles. If God just fixed everything for us, then there'd be no point in our existence. [realizes something] That's why he wouldn't show up to my New Year's party."
"Are You There God? It's Me, Jesus",Stan,I just wanted my period.
"Are You There God? It's Me, Jesus",Jesus,"I get it now, Father. I had to learn all this on my own. [Skeeter and five other men bring a large cross in] I was overcome with my new popularity and, and I let pride get in the way of good judgment. [a bright light appears in the sky and descends towards the stage. The crowd gapes in awe]"
"Are You There God? It's Me, Jesus",Man,"Whoa, what is that??"
"Are You There God? It's Me, Jesus",Jesus,[the light approaches him] It's Dad.
"Are You There God? It's Me, Jesus",Fr. Maxi,God? God is going to show himself??
